term	malay	chinese	sourceUrl	sourceName	license	attribution	reviewStatus
makan	Saya makan nasi.	我吃米饭。	local-file://content/raw/sample_sentences.tsv#makan	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
minum	Saya minum air.	我喝水。	local-file://content/raw/sample_sentences.tsv#minum	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
belajar	Saya belajar bahasa Melayu.	我学习马来语。	local-file://content/raw/sample_sentences.tsv#belajar	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
saya	Saya dari Malaysia.	我来自马来西亚。	local-file://content/raw/sample_sentences.tsv#saya	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
awak	Awak mahu minum air?	你想喝水吗？	local-file://content/raw/sample_sentences.tsv#awak	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
dia	Dia pergi ke sekolah.	他/她去学校。	local-file://content/raw/sample_sentences.tsv#dia	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
kami	Kami belajar hari ini.	我们今天学习。	local-file://content/raw/sample_sentences.tsv#kami	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
kita	Kita makan bersama.	我们一起吃饭。	local-file://content/raw/sample_sentences.tsv#kita	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
ini	Ini buku saya.	这是我的书。	local-file://content/raw/sample_sentences.tsv#ini	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
itu	Itu rumah dia.	那是他/她的家。	local-file://content/raw/sample_sentences.tsv#itu	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
apa	Apa ini?	这是什么？	local-file://content/raw/sample_sentences.tsv#apa	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
siapa	Siapa nama awak?	你叫什么名字？	local-file://content/raw/sample_sentences.tsv#siapa	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
di	Saya di rumah.	我在家。	local-file://content/raw/sample_sentences.tsv#di	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
ke	Kami pergi ke pasar.	我们去市场。	local-file://content/raw/sample_sentences.tsv#ke	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
dari	Dia dari sekolah.	他/她从学校来。	local-file://content/raw/sample_sentences.tsv#dari	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
dan	Saya dan awak belajar.	我和你学习。	local-file://content/raw/sample_sentences.tsv#dan	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
atau	Awak mahu kopi atau air?	你要咖啡还是水？	local-file://content/raw/sample_sentences.tsv#atau	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
tidak	Saya tidak mahu kopi.	我不要咖啡。	local-file://content/raw/sample_sentences.tsv#tidak	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
ya	Ya, saya mahu makan.	是的，我想吃饭。	local-file://content/raw/sample_sentences.tsv#ya	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
boleh	Awak boleh baca ini.	你可以读这个。	local-file://content/raw/sample_sentences.tsv#boleh	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
mahu	Saya mahu pergi.	我想去。	local-file://content/raw/sample_sentences.tsv#mahu	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
pergi	Kita pergi pagi ini.	我们今天早上去。	local-file://content/raw/sample_sentences.tsv#pergi	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
datang	Dia datang dari pasar.	他/她从市场来。	local-file://content/raw/sample_sentences.tsv#datang	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
duduk	Sila duduk di sini.	请坐在这里。	local-file://content/raw/sample_sentences.tsv#duduk	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
lihat	Saya lihat bas.	我看到公共汽车。	local-file://content/raw/sample_sentences.tsv#lihat	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
dengar	Awak dengar saya?	你听见我吗？	local-file://content/raw/sample_sentences.tsv#dengar	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
cakap	Saya cakap bahasa Melayu.	我说马来语。	local-file://content/raw/sample_sentences.tsv#cakap	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
baca	Dia baca buku.	他/她读书。	local-file://content/raw/sample_sentences.tsv#baca	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
tulis	Saya tulis nama saya.	我写我的名字。	local-file://content/raw/sample_sentences.tsv#tulis	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
beli	Kami beli buku.	我们买书。	local-file://content/raw/sample_sentences.tsv#beli	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
jual	Dia jual nasi.	他/她卖米饭。	local-file://content/raw/sample_sentences.tsv#jual	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
rumah	Rumah ini besar.	这所房子很大。	local-file://content/raw/sample_sentences.tsv#rumah	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
sekolah	Sekolah itu dekat.	那所学校很近。	local-file://content/raw/sample_sentences.tsv#sekolah	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
pasar	Pasar ini kecil.	这个市场很小。	local-file://content/raw/sample_sentences.tsv#pasar	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
kerja	Kerja saya banyak.	我的工作很多。	local-file://content/raw/sample_sentences.tsv#kerja	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
buku	Buku itu baru.	那本书是新的。	local-file://content/raw/sample_sentences.tsv#buku	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
kereta	Kereta saya di jalan.	我的车在路上。	local-file://content/raw/sample_sentences.tsv#kereta	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
bas	Bas datang pagi ini.	公共汽车今天早上来了。	local-file://content/raw/sample_sentences.tsv#bas	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
jalan	Jalan ini panjang.	这条路很长。	local-file://content/raw/sample_sentences.tsv#jalan	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
pagi	Selamat pagi.	早上好。	local-file://content/raw/sample_sentences.tsv#pagi	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
hari	Hari ini saya belajar.	今天我学习。	local-file://content/raw/sample_sentences.tsv#hari	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
nama	Nama saya Ali.	我的名字是阿里。	local-file://content/raw/sample_sentences.tsv#nama	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
bahasa	Saya belajar bahasa Melayu.	我学习马来语。	local-file://content/raw/sample_sentences.tsv#bahasa	MalayMate beginner example sentences	CC BY 4.0	MalayMate authored beginner examples	needs-review
